graph_order,acronym,name_x,DHBA_name,DHBA_acronym,DHBA_id,color_hex_triplet,uDHBA_id,r,g,b,a,vis,msh
0,CNS,central nervous system (neural tube),neural tube,NT,DHBA:10154,#D0D0D1,501,60,180,75,1,1,1
1,Br,brain,brain,Br,DHBA:10155,#E0E0E0,502,128,128,0,1,1,1
2,BGM,gray matter of brain,,,DHBA:AA30000,,503,0,130,200,1,1,1
3,FB,forebrain (prosencephalon),forebrain (prosencephalon),F,DHBA:10156,#EBD6D0,84,0,0,128,1,1,1
4,Tel,telencephalon,telencephalon,Tel,DHBA:10158,#EBD6D0,504,230,25,75,1,1,1
5,Cx,cerebral cortex,cerebral cortex,Cx,DHBA:10159,#E9CCC2,505,0,0,128,1,1,1
6,NCx,neocortex (isocortex),neocortex (isocortex),NCx,DHBA:10160,#E9CCC2,506,255,215,180,1,1,1
7,NCxSe,segmentation of neocortex,,,DHBA:AA30001,,507,0,0,128,1,1,1
8,FCx,frontal cortex,frontal neocortex,FCx,DHBA:10161,#F2E5BB,508,0,128,128,1,1,1
9,PFC,prefrontal cortex,prefrontal cortex,PFC,DHBA:10172,#EEE0A8,509,240,50,230,1,1,1
10,A10,"frontal polar cortex (FP, area 10)",frontal polar cortex (area 10),A10,DHBA:10190,#DEBD3E,510,0,0,128,1,1,1
11,A10m,medial subdivision of area 10,medial subdivision of area 10,A10m,DHBA:10191,#DEBD3E,511,60,180,75,1,1,1
12,A10l,lateral subdivision of area 10,lateral subdivision of area 10,A10l,DHBA:10192,#DEBD3E,512,220,190,255,1,1,1
13,A10o,orbital subdivision of area 10,orbital subdivision of area 10,A10o,DHBA:10193,#DEBD3E,513,170,255,195,1,1,1
14,DFC,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex,DFC,DHBA:10173,#D4B235,514,0,0,128,,1,1
15,A8,"caudal portion of DFC (area 8, area FC)",caudal portion of DFC (area 8),A8,DHBA:10174,#D4B235,515,255,225,25,1,1,1
16,A8ld,laterodorsal subdivision of area 8,laterodorsal subdivision of area 8,A8ld,DHBA:10175,#D4B235,516,220,190,255,1,1,1
17,A8lv,lateroventral subdivision of area 8,lateroventral subdivision of area 8,A8lv,DHBA:10176,#D4B235,517,60,180,75,1,1,1
18,A8m,medial subdivision of area 8,medial subdivision of area 8,A8m,DHBA:10177,#D4B235,518,128,128,128,1,1,1
19,A9,rostrodorsal portion of DFC (area 9),rostrodorsal portion of DFC (area 9),A9,DHBA:10178,#D4B235,519,0,0,128,1,1,1
20,A9l,lateral subdivision of area 9,lateral subdivision of area 9,A9l,DHBA:10179,#D4B235,520,210,245,60,1,1,1
21,A9m,medial subdivision of area 9,medial subdivision of area 9,A9m,DHBA:10180,#D4B235,521,255,215,180,1,1,1
