graph_order,uDHBA_id,uDHBA_acronym,uDHBA_name,DHBA_name,DHBA_acronym,DHBA_id,uDHBA_label_value,r,g,b,hierarchy and full names,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,DHBA:10154,CNS,central nervous system (neural tube),neural tube,NT,10154,501,60,180,75,central nervous system (neural tube),,,,,,,,,,,,,,,,,
1,DHBA:10155,Br,brain,brain,Br,10155,502,128,128,0,,brain,,,,,,,,,,,,,,,,
2,DHBA:AA30000,BGM,gray matter of brain,,,,503,0,130,200,,,gray matter of brain,,,,,,,,,,,,,,,
3,DHBA:10156,FB,forebrain (prosencephalon),forebrain (prosencephalon),F,10156,84,0,0,128,,,,forebrain (prosencephalon),,,,,,,,,,,,,,
4,DHBA:10158,Tel,telencephalon,telencephalon,Tel,10158,504,230,25,75,,,,,telencephalon,,,,,,,,,,,,,
5,DHBA:10159,Cx,cerebral cortex,cerebral cortex,Cx,10159,505,0,0,128,,,,,,cerebral cortex,,,,,,,,,,,,
6,DHBA:10160,NCx,neocortex (isocortex),neocortex (isocortex),NCx,10160,506,255,215,180,,,,,,,neocortex (isocortex),,,,,,,,,,,
7,DHBA:AA30001,NCxR,regions (areas) of neocortex,,,,507,0,0,128,,,,,,,,regions (areas) of neocortex,,,,,,,,,,
8,DHBA:10161,FCx,frontal cortex,frontal neocortex,FCx,10161,508,0,128,128,,,,,,,,,frontal cortex,,,,,,,,,
9,DHBA:10172,PFC,prefrontal cortex,prefrontal cortex,PFC,10172,509,240,50,230,,,,,,,,,,prefrontal cortex,,,,,,,,
10,DHBA:10190,A10,"frontal polar cortex (FP, area 10)",frontal polar cortex (area 10),A10,10190,510,0,0,128,,,,,,,,,,,"frontal polar cortex (FP, area 10)",,,,,,,
11,DHBA:10191,A10m,medial subdivision of area 10,medial subdivision of area 10,A10m,10191,511,60,180,75,,,,,,,,,,,,medial subdivision of area 10,,,,,,
12,DHBA:10192,A10l,lateral subdivision of area 10,lateral subdivision of area 10,A10l,10192,512,220,190,255,,,,,,,,,,,,lateral subdivision of area 10,,,,,,
13,DHBA:10193,A10o,orbital subdivision of area 10,orbital subdivision of area 10,A10o,10193,513,170,255,195,,,,,,,,,,,,orbital subdivision of area 10,,,,,,
14,DHBA:10173,DFC,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex,DFC,10173,514,0,0,128,,,,,,,,,,,dorsolateral prefrontal cortex,,,,,,,
15,DHBA:10174,A8,"caudal division of DFC (area 8, DFCc)",caudal portion of DFC (area 8),A8,10174,515,255,225,25,,,,,,,,,,,,"caudal division of DFC (area 8, DFCc)",,,,,,
16,DHBA:10175,A8ld,laterodorsal subdivision of area 8,laterodorsal subdivision of area 8,A8ld,10175,516,220,190,255,,,,,,,,,,,,,laterodorsal subdivision of area 8,,,,,
17,DHBA:10176,A8lv,lateroventral subdivision of area 8,lateroventral subdivision of area 8,A8lv,10176,517,60,180,75,,,,,,,,,,,,,lateroventral subdivision of area 8,,,,,
18,DHBA:10177,A8m,medial subdivision of area 8,medial subdivision of area 8,A8m,10177,518,128,128,128,,,,,,,,,,,,,medial subdivision of area 8,,,,,
19,DHBA:10178,A9,"rostrodorsal division of DFC (area 9, DFCd)",rostrodorsal portion of DFC (area 9),A9,10178,519,0,0,128,,,,,,,,,,,,"rostrodorsal division of DFC (area 9, DFCd)",,,,,,
20,DHBA:10179,A9l,lateral subdivision of area 9,lateral subdivision of area 9,A9l,10179,520,210,245,60,,,,,,,,,,,,,lateral subdivision of area 9,,,,,
21,DHBA:10180,A9m,medial subdivision of area 9,medial subdivision of area 9,A9m,10180,521,255,215,180,,,,,,,,,,,,,medial subdivision of area 9,,,,,
22,DHBA:10181,DFCi,intermediate division of DFC (area 9/46),intermediate portion of DFC (area 9/46),A9/46,10181,522,255,215,180,,,,,,,,,,,,intermediate division of DFC (area 9/46),,,,,,
23,DHBA:10182,DFCid,dorsal subdivision of A9/46,dorsal subdivision of A9/46,A9/46d,10182,523,255,215,180,,,,,,,,,,,,,dorsal subdivision of A9/46,,,,,
24,DHBA:10183,DFCiv,ventral subdivision of A9/46,ventral subdivision of A9/46,A9/46v,10183,524,60,180,75,,,,,,,,,,,,,ventral subdivision of A9/46,,,,,
25,DHBA:10184,A46,"rostroventral division of DFC (area 46, DFCv)",rostroventral portion of DFC (area 46),A46,10184,525,255,225,25,,,,,,,,,,,,"rostroventral division of DFC (area 46, DFCv)",,,,,,
26,DHBA:10863,A46d,dorsal subdivision of area 46,dorsal subdivision of area 46,A46d,10863,526,245,130,48,,,,,,,,,,,,,dorsal subdivision of area 46,,,,,
27,DHBA:10870,A46v,ventral subdivision of area 46,ventral subdivision of area 46,A46v,10870,527,0,130,200,,,,,,,,,,,,,ventral subdivision of area 46,,,,,
28,DHBA:10185,VFC,ventrolateral prefrontal cortex (Broca's area in dominant hemisphere),ventrolateral prefrontal cortex,VFC,10185,528,0,130,200,,,,,,,,,,,ventrolateral prefrontal cortex (Broca's area in dominant hemisphere),,,,,,,
29,DHBA:10186,A44,caudal division of VFC (area 44),caudal portion of VFC (area 44),A44,10186,529,128,128,128,,,,,,,,,,,,caudal division of VFC (area 44),,,,,,
30,DHBA:266441105,A44d,dorsal subdivision of area 44,dorsal subdivision of area 44,A44d,266441105,530,255,225,25,,,,,,,,,,,,,dorsal subdivision of area 44,,,,,
31,DHBA:266441133,A44v,ventral subdivision of area 44,ventral subdivision of area 44,A44v,266441133,531,128,0,0,,,,,,,,,,,,,ventral subdivision of area 44,,,,,
32,DHBA:266441161,A44op,opercular subdivision of area 44,opercular subdivision of area 44,A44op,266441161,532,70,240,240,,,,,,,,,,,,,opercular subdivision of area 44,,,,,
33,DHBA:10187,A45,rostral division of VFC (area 45),rostral portion of VFC (area 45),A45,10187,533,70,240,240,,,,,,,,,,,,rostral division of VFC (area 45),,,,,,
34,DHBA:10188,A45r,rostral subdivision of A45,rostral subdivision of A45,A45r,10188,534,255,215,180,,,,,,,,,,,,,rostral subdivision of A45,,,,,
35,DHBA:10189,A45c,caudal subdivision of A45,caudal subdivision of A45,A45c,10189,535,170,110,40,,,,,,,,,,,,,caudal subdivision of A45,,,,,
36,DHBA:266441189,A45op,opercular subdivision of A45,opercular subdivision of A45,A45op,266441189,536,255,250,200,,,,,,,,,,,,,opercular subdivision of A45,,,,,
37,DHBA:10194,OFC,orbital frontal cortex,orbital frontal cortex,OFC,10194,537,128,0,0,,,,,,,,,,orbital frontal cortex,,,,,,,,
38,DHBA:10195,A14,medial orbital frontal cortex (area 14),medial orbital frontal cortex (area 14),OFCm,10195,538,220,190,255,,,,,,,,,,,medial orbital frontal cortex (area 14),,,,,,,
39,DHBA:10196,A14r,rostral subdivision of area 14,rostral subdivision of area 14,A14r,10196,539,0,128,128,,,,,,,,,,,,rostral subdivision of area 14,,,,,,
40,DHBA:10197,A14c,caudal subdivision of area 14,caudal subdivision of area 14,A14c,10197,540,60,180,75,,,,,,,,,,,,caudal subdivision of area 14,,,,,,
41,DHBA:10198,OFCi,"intermediate orbital frontal cortex (OFCi, area 11/13)",intermediate orbital frontal cortex,OFCi,10198,541,145,30,180,,,,,,,,,,,"intermediate orbital frontal cortex (OFCi, area 11/13)",,,,,,,
42,DHBA:10199,A11,rostral intermediate orbital frontal cortex (area 11),rostral division of OFCi (area 11),A11,10199,542,255,225,25,,,,,,,,,,,,rostral intermediate orbital frontal cortex (area 11),,,,,,
43,DHBA:10200,A11m,medial subdivision of area 11,medial subdivision of area 11,A11m,10200,543,255,225,25,,,,,,,,,,,,,medial subdivision of area 11,,,,,
44,DHBA:10201,A11l,lateral subdivision of area 11,lateral subdivision of area 11,A11l,10201,544,0,128,128,,,,,,,,,,,,,lateral subdivision of area 11,,,,,
45,DHBA:10202,A13,caudal intermediate orbital frontal cortex (area 13),caudal division of OFCi (area 13),A13,10202,545,60,180,75,,,,,,,,,,,,caudal intermediate orbital frontal cortex (area 13),,,,,,
46,DHBA:10203,A13m,medial subdivision of area 13,medial subdivision of area 13,A13m,10203,546,128,128,128,,,,,,,,,,,,,medial subdivision of area 13,,,,,
47,DHBA:10204,A13l,lateral subdivision of area 13,lateral subdivision of area 13,A13l,10204,547,170,255,195,,,,,,,,,,,,,lateral subdivision of area 13,,,,,
48,DHBA:10205,A47,"lateral orbital frontal cortex (OFCl, area 12/47)",lateral orbital frontal cortex (area 12/47),OFCl,10205,548,255,225,25,,,,,,,,,,,"lateral orbital frontal cortex (OFCl, area 12/47)",,,,,,,
49,DHBA:AA30002,A47r,rostral subdivision of area 12/47,,,,549,128,128,128,,,,,,,,,,,,rostral subdivision of area 12/47,,,,,,
50,DHBA:AA30003,A47c,caudal subdivision of area 12/47,,,,550,145,30,180,,,,,,,,,,,,caudal subdivision of area 12/47,,,,,,
51,DHBA:10206,A47m,medial part of area 12/47,medial subdivision of area 12/47,A12/47m,10206,551,145,30,180,,,,,,,,,,,,,medial part of area 12/47,,,,,
52,DHBA:10207,A47l,lateral part of area 12/47,lateral subdivision of area 12/47,A12/47l,10207,552,170,110,40,,,,,,,,,,,,,lateral part of area 12/47,,,,,
53,DHBA:AA30004,GuO,orbital gustatory cortex ,,,,553,170,255,195,,,,,,,,,,,orbital gustatory cortex ,,,,,,,
54,DHBA:AA30005,OFI,orbitofrontal insular cortex,,,,554,255,215,180,,,,,,,,,,orbitofrontal insular cortex,,,,,,,,
55,DHBA:AA30006,OFIm,medial division of orbitofrontal insular cortex,,,,555,210,245,60,,,,,,,,,,,medial division of orbitofrontal insular cortex,,,,,,,
56,DHBA:AA30007,OFIi,intermediate division of orbitofrontal insular cortex,,,,556,230,25,75,,,,,,,,,,,intermediate division of orbitofrontal insular cortex,,,,,,,
57,DHBA:AA30008,OFIl,lateral division of orbitofrontal insular cortex,,,,557,128,0,0,,,,,,,,,,,lateral division of orbitofrontal insular cortex,,,,,,,
58,DHBA:AA30009,MoC,frontal motor cortex (posterior frontal cortex),,,,558,128,128,0,,,,,,,,,,frontal motor cortex (posterior frontal cortex),,,,,,,,
59,DHBA:10163,M1,"primary motor cortex (first motor cortex, area 4, area FA)","primary motor cortex (area M1, area 4)",M1C,10163,559,170,255,195,,,,,,,,,,,"primary motor cortex (first motor cortex, area 4, area FA)",,,,,,,
60,DHBA:10167,M1ll,lower limb region of M1,lower limb region of M1,M1lm,10167,2354,255,225,25,,,,,,,,,,,,lower limb region of M1,,,,,,
61,DHBA:10166,M1tr,trunk region of M1,trunk region of M1,M1tr,10166,2355,128,128,128,,,,,,,,,,,,trunk region of M1,,,,,,
62,DHBA:10165,M1ul,upper limb regions of M1,upper limb region of M1,M1ul,10165,2356,145,30,180,,,,,,,,,,,,upper limb regions of M1,,,,,,
63,DHBA:AA30809,M1fm,face-mouth region of M1,,,,2357,0,128,128,,,,,,,,,,,,face-mouth region of M1,,,,,,
64,DHBA:AA30810,M1tp,tongue-pharynx region of M1,,,,2358,128,0,0,,,,,,,,,,,,tongue-pharynx region of M1,,,,,,
